,title,price,stars,reviews
136,"Redmi 8A Dual (Sky White, 32 GB)","₹8,397",4.2,"5,550 Ratings & 435 Reviews"
137,Lava A3,"₹1,099",4.2,"10,785 Ratings & 1,297 Reviews"
138,"Redmi 8A Dual (Sea Blue, 64 GB)","₹9,995",4.2,"3,105 Ratings & 235 Reviews"
139,Lava A3,"₹1,099",4.2,"10,785 Ratings & 1,297 Reviews"
140,"Redmi 8A Dual (Sea Blue, 32 GB)","₹8,390",4.2,"5,550 Ratings & 435 Reviews"
141,"Realme X2 Pro (Neptune Blue, 256 GB)","₹32,999",4.6,"6,459 Ratings & 987 Reviews"
142,"Realme 6 (Comet White, 128 GB)","₹16,999",4.4,"28,406 Ratings & 3,006 Reviews"
143,"Realme X2 Pro (Neptune Blue, 128 GB)","₹28,999",4.5,"15,201 Ratings & 2,377 Reviews"
144,"Apple iPhone XR (Blue, 64 GB)","₹45,999",4.6,"16,282 Ratings & 1,384 Reviews"
145,Samsung Guru Music 2,"₹1,949",4.3,"1,44,745 Ratings & 14,608 Reviews"
146,"OPPO A31 (Mystery Black, 128 GB)","₹14,990",4.3,"3,071 Ratings & 238 Reviews"
147,"OPPO F11 Pro (Aurora Green, 128 GB)","₹15,990",4.4,"1,20,151 Ratings & 11,569 Reviews"
148,Samsung Guru Music 2,"₹1,945",4.3,"1,44,745 Ratings & 14,608 Reviews"
149,"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)","₹20,945",4.3,303 Ratings & 43 Reviews
150,"OPPO A12 (Black, 64 GB)","₹11,490",4.3,"1,799 Ratings & 109 Reviews"
151,"Apple iPhone 7 (Black, 32 GB)","₹29,499",4.5,"92,094 Ratings & 9,127 Reviews"
152,I Kall K71 Combo of Two Mobile,₹799,3.2,"4,133 Ratings & 465 Reviews"
153,Micromax X807,"₹1,477",4.1,"2,709 Ratings & 216 Reviews"
154,"Vivo Z1Pro (Sonic Black, 128 GB)","₹17,990",4.5,"1,49,266 Ratings & 14,738 Reviews"
